frame_index,sample_time_s,mission_elapsed_time_s,met_raw_text,met_parse_status,met_raw_unit,met_raw_value,met_si_value,met_variant,stage1_velocity_raw_text,stage1_velocity_parse_status,stage1_velocity_raw_unit,stage1_velocity_raw_value,stage1_velocity_si_value,stage1_velocity_variant,stage1_altitude_raw_text,stage1_altitude_parse_status,stage1_altitude_raw_unit,stage1_altitude_raw_value,stage1_altitude_si_value,stage1_altitude_variant,stage2_velocity_raw_text,stage2_velocity_parse_status,stage2_velocity_raw_unit,stage2_velocity_raw_value,stage2_velocity_si_value,stage2_velocity_variant,stage2_altitude_raw_text,stage2_altitude_parse_status,stage2_altitude_raw_unit,stage2_altitude_raw_value,stage2_altitude_si_value,stage2_altitude_variant
4196,70.00375981245729,65.0,T+00:01:05 STAGE2 VELOCITY,parsed,s,65.0,65.0,raw,"000,453 NEW GLENN NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,453.0,202.50912,raw,"LIFTOFF 015,467 FT",parsed,FT,15467.0,4714.341600000001,raw,"STAGE2 000,000 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
4316,72.00577391576876,68.0,MAXQ T+00:01:08 STAGE2 VELOCITY,parsed,s,68.0,68.0,raw,"NEW GLENN 000,482 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,482.0,215.47328,raw,"LIFTOFF 016,913 FT",parsed,FT,16913.0,5155.0824,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
4436,74.00778801908021,69.0,MAXQ T+00:01:09 STAGE2 VELOCITY,parsed,s,69.0,69.0,raw,"NEW GLENN 000,507 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,507.0,226.64928,raw,"LIFTOFF 017,977 FT",parsed,FT,17977.0,5479.3896,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
4555,75.99311867153074,72.0,MAXQ T+00:01:12 STAGE2 VELOCITY,parsed,s,72.0,72.0,raw,NEW GLENN 689'000 NEW GLENN VELOCITY MPH ALTITUDE,parsed,MPH,689.0,308.01056,raw,"LIFTOFF 019,572 FT",parsed,FT,19572.0,5965.5456,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
4675,77.99513277484219,74.0,MAXQ T+00:01:14 STAGE2 VELOCITY,parsed,s,74.0,74.0,raw,NEW GLENN 69S'000 NEW GLENN MPH VELOCITY ALTITUDE,parsed,MPH,695.0,310.6928,raw,"LIFTOFF 021,085 FT",parsed,FT,21085.0,6426.7080000000005,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000",parsed,MI,0.0,0.0,raw
4795,79.99714687815366,76.0,T+00:01:16 STAGE2 VELOCITY,parsed,s,76.0,76.0,raw,"NEW GLENN 000,600 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,600.0,268.224,raw,"LIFTOFF 022,493 FT",parsed,FT,22493.0,6855.866400000001,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000",parsed,MI,0.0,0.0,raw
4915,81.99916098146511,77.0,MAX Q T+00:01:17 STAGE2 VELOCITY,parsed,s,77.0,77.0,raw,"000,630 NEW GLENN NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,630.0,281.6352,raw,"LIFTOFF 023,961 FT",parsed,FT,23961.0,7303.312800000001,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
5035,84.00117508477656,80.0,MAXQ T+00:01:20 STAGE2 VELOCITY,parsed,s,80.0,80.0,raw,"NEW GLENN 000,667 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,667.0,298.17568,raw,"LIFTOFF 025,882 FT",parsed,FT,25882.0,7888.833600000001,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
5155,86.00318918808803,81.0,MAXQ T+00:01:21 STAGE2 VELOCITY,parsed,s,81.0,81.0,raw,NEW GLENN 669'000 NEW GLENN VELOCITY MPH ALTITUDE,parsed,MPH,669.0,299.06976,raw,"LIFTOFF 027,488 FT",parsed,FT,27488.0,8378.3424,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
5275,88.00520329139948,83.0,MAXQ T+00:01:23 STAGE2 VELOCITY,parsed,s,83.0,83.0,raw,"000,735 NEW GLENN NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,735.0,328.57439999999997,raw,"LIFTOFF 029,157 FT",parsed,FT,29157.0,8887.053600000001,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
