frame_index,sample_time_s,mission_elapsed_time_s,stage1_velocity_mps,stage1_altitude_m,stage2_velocity_mps,stage2_altitude_m
21099,352.004129714737,348.0,1816.77056,131966.208,2598.64352,185074.56
21219,354.0061438180485,350.0,1820.34688,130356.864,2610.7136,185074.56
21339,356.0081579213599,351.0,1823.9232,130356.864,2621.8896,186683.904
21458,357.99348857381045,354.0,1828.3935999999999,128747.52,,186683.904
21578,359.9955026771219,356.0,1832.864,128747.52,223.52,188293.248
21698,361.9975167804334,357.0,1836.88736,,,188293.248
21818,363.9995308837448,360.0,1841.8048,125528.83200000001,,188293.248
21938,366.00154498705626,362.0,1846.2752,125528.83200000001,2684.02816,189902.592
22058,368.0035590903678,363.0,1851.19264,123919.488,2695.6512,189902.592
22178,370.0055731936792,366.0,1856.55712,123919.488,2709.50944,
22298,372.00758729699066,368.0,1861.4745599999999,122310.144,2722.02656,
22417,373.9929179494411,370.0,1867.28608,120700.8,2734.99072,
22537,375.99493205275263,371.0,1872.20352,120700.8,2746.61376,193121.28
22657,377.9969461560641,374.0,1878.90912,119091.456,2761.36608,193121.28
22777,379.9989602593755,375.0,1883.82656,117482.11200000001,2772.9891199999997,194730.624
22897,382.00097436268703,377.0,1890.08512,117482.11200000001,2786.4003199999997,194730.624
23017,384.0029884659984,380.0,1896.79072,115872.76800000001,2801.15264,194730.624
23137,386.0050025693099,382.0,1903.04928,114263.424,2815.01088,196339.968
23257,388.0070166726214,383.0,1908.8608,112654.08,2827.08096,196339.968
23376,389.99234732507193,385.0,1915.5664,,2840.9392,196339.968
23496,391.99436142838334,387.0,1922.71904,109435.392,2854.79744,197949.312
23616,393.9963755316948,389.0,1929.42464,109435.392,2868.65568,197949.312
23736,395.9983896350063,391.0,1936.57728,107826.04800000001,2882.96096,197949.312
23856,398.00040373831774,393.0,1943.72992,106216.704,2897.26624,199558.65600000002
23976,400.0024178416292,395.0,1951.3296,104607.36,2911.57152,199558.65600000002
24096,402.0044319449407,398.0,1959.8233599999999,102998.016,2927.21792,199558.65600000002
24216,404.0064460482521,399.0,1966.5289599999999,101388.672,2940.18208,201168.0
24335,405.99177670070264,402.0,1975.02272,99421.4928,2956.27552,201168.0
24455,407.9937908040141,404.0,1983.06944,97695.10560000001,2971.0278399999997,201168.0
24575,409.9958049073256,405.0,1990.66912,96129.0432,2984.8860799999998,201168.0
24695,411.99781901063704,408.0,1999.6099199999999,94129.5552,3000.97952,202777.344
24815,413.99983311394845,410.0,2008.10368,92290.08720000001,3016.17888,202777.344
24935,416.0018472172599,411.0,2015.70336,90833.7528,3029.59008,202777.344
25055,418.0038613205714,413.0,2024.64416,88927.22880000001,3045.23648,202777.344
25175,420.00587542388286,415.0,2033.13792,86983.2144,3060.43584,204386.688
25295,422.0078895271943,417.0,2042.07872,85887.1536,3076.0822399999997,204386.688
25414,423.9932201796448,419.0,2051.01952,83434.1232,3091.72864,204386.688
25534,425.9952342829563,421.0,2059.51328,81843.9816,3105.58688,204386.688
25654,427.99724838626776,423.0,2068.90112,80925.0096,,205996.032
25774,429.9992624895792,426.0,2080.07712,80925.0096,3140.456,205996.032
25894,432.0012765928907,428.0,2089.46496,76932.4344,3156.54944,205996.032
26014,434.0032906962021,429.0,2082.31232,73790.86080000001,,205996.032
26134,436.0053047995136,432.0,2052.80768,72325.0776,3188.73632,205996.032
26254,438.00731890282503,433.0,2000.05696,69174.9696,3203.48864,207605.37600000002
26373,439.9926495552756,435.0,1948.64736,66568.9296,3220.02912,
26493,441.994663658587,437.0,1896.34368,64710.564000000006,3236.5696,
26613,443.99667776189847,440.0,1837.3344,62433.0984,3254.89824,
26733,445.99869186520993,441.0,,,3270.0976,
26853,448.0007059685214,444.0,1726.46848,58682.229600000006,3288.42624,
26973,450.00272007183287,446.0,1668.80032,56972.301600000006,3305.41376,209214.72
27093,452.00473417514434,448.0,1616.0496,55092.2952,3322.84832,209214.72
27213,454.00674827845575,449.0,1556.14624,,3338.04768,209214.72
27332,455.9920789309063,451.0,1494.90176,51673.963200000006,3355.48224,209214.72
27452,457.99409303421777,453.0,1432.31616,49937.822400000005,3372.9168,209214.72
27572,459.9961071375293,456.0,1366.60128,48254.107200000006,,209214.72
27692,461.99812124084065,457.0,,46784.361600000004,3408.68,209214.72
27812,464.0001353441521,459.0,1333.07328,45132.650400000006,3426.5616,210824.064
27932,466.0021494474636,461.0,1342.90816,43448.020800000006,3444.4432,210824.064
28052,468.00416355077505,464.0,,,,
28172,470.0061776540865,466.0,,,,
28292,472.008191757398,467.0,,,,
28411,473.9935224098485,469.0,,,,
28531,475.99553651315995,472.0,,,,
28651,477.9975506164714,473.0,,,,
28771,479.9995647197829,475.0,,,,
28891,482.0015788230943,477.0,,,,
29011,484.00359292640576,479.0,,,,
29131,486.0056070297172,481.0,,,,
29251,488.0076211330287,484.0,,,,
29370,489.9929517854792,485.0,,,,
29490,491.99496588879066,487.0,,,,
29610,493.9969799921021,490.0,,,,
29730,495.9989940954136,491.0,,,,
29850,498.00100819872506,493.0,,,,
29970,500.0030223020365,496.0,,,,
30090,502.00503640534794,497.0,,,3580.34336,
30210,504.0070505086594,499.0,357.632,,,
30329,505.9923811611099,501.0,,,,
30449,507.9943952644214,503.0,,,,
30569,509.9964093677328,506.0,,,,
30689,511.9984234710443,508.0,,,357.632,
30809,514.0004375743558,510.0,,,,
30929,516.0024516776672,511.0,,,,
31049,518.0044657809786,513.0,,243.84,,
31169,520.0064798842901,516.0,,,,
31288,521.9918105367407,518.0,,,,
31408,523.9938246400521,519.0,,,,
31528,525.9958387433636,522.0,,,,
31648,527.9978528466751,524.0,,,,
31768,529.9998669499865,526.0,,,,
31888,532.001881053298,528.0,,,,
32008,534.0038951566095,529.0,,,,
32128,536.0059092599208,531.0,,,,
32248,538.0079233632323,534.0,,,,
32367,539.9932540156829,536.0,,,,
32487,541.9952681189943,537.0,,,,
32607,543.9972822223058,540.0,,,,
32727,545.9992963256173,542.0,,,,
32847,548.0013104289287,543.0,,,,
32967,550.0033245322402,546.0,,,,
33087,552.0053386355517,548.0,,,,
33207,554.0073527388631,549.0,,,,
33326,555.9926833913136,552.0,,,,
33446,557.994697494625,553.0,,,,
33566,559.9967115979365,555.0,,,,
33686,561.998725701248,557.0,,,,
33806,564.0007398045594,560.0,357.632,4574.4384,,
33926,566.0027539078709,561.0,,,,
34046,568.0047680111824,564.0,,,,
34166,570.0067821144938,565.0,,,,
34285,571.9921127669443,568.0,,,,
34405,573.9941268702557,570.0,,,,
34525,575.9961409735672,572.0,,,,
34645,577.9981550768787,573.0,,,,
34765,580.0001691801901,576.0,,,,
34885,582.0021832835016,577.0,,,,
35005,584.0041973868131,579.0,,,,
35125,586.0062114901245,581.0,,,,
35245,588.008225593436,583.0,,,,
35364,589.9935562458866,586.0,,,,
35484,591.9955703491979,588.0,,,,
35604,593.9975844525094,589.0,,,,
35724,595.9995985558209,592.0,,,,
35844,598.0016126591323,593.0,,,,
35964,600.0036267624438,596.0,,,,
36084,602.0056408657553,597.0,,,,
36204,604.0076549690667,600.0,,,,
36323,605.9929856215173,602.0,,,,
36443,607.9949997248287,603.0,,,,
36563,609.9970138281402,606.0,,,,
36683,611.9990279314516,607.0,,,,
36803,614.001042034763,609.0,,,,
36923,616.0030561380745,611.0,,,,
37043,618.005070241386,614.0,,,,
37163,620.0070843446974,616.0,,,,
37282,621.992414997148,617.0,,,,
37402,623.9944291004595,619.0,,,,
37522,625.9964432037709,622.0,,,,
37642,627.9984573070824,623.0,,,,
37762,630.0004714103939,625.0,,,,
37882,632.0024855137052,627.0,,,,
38002,634.0044996170167,629.0,,,,
38122,636.0065137203281,632.0,,,,
38241,637.9918443727787,633.0,,,,
38361,639.9938584760902,635.0,,,,
38481,641.9958725794016,638.0,,,,
38601,643.9978866827131,639.0,,,,
38721,645.9999007860246,641.0,,,,
38841,648.001914889336,643.0,,,,
38961,650.0039289926475,646.0,,,,
39081,652.0059430959589,648.0,,,,
39201,654.0079571992703,650.0,,,,
39320,655.9932878517209,651.0,,,,
39440,657.9953019550323,653.0,,,,
39560,659.9973160583438,655.0,,,,
39680,661.9993301616553,658.0,,,,
39800,664.0013442649667,660.0,,,,
39920,666.0033583682782,662.0,,,,
40040,668.0053724715897,664.0,,,,
40160,670.0073865749011,666.0,,,,
40279,671.9927172273516,668.0,,,,
40399,673.9947313306631,670.0,,,,
40519,675.9967454339745,671.0,,,,
40639,677.998759537286,673.0,,,,
40759,680.0007736405975,676.0,,,,
40879,682.0027877439089,677.0,,,,
40999,684.0048018472204,680.0,,,,
41119,686.0068159505319,681.0,357.632,,,
41238,687.9921466029823,683.0,3.57632,,,
41358,689.9941607062938,686.0,,,,
41478,691.9961748096052,687.0,,,,
41598,693.9981889129167,689.0,,,,
41718,696.0002030162282,692.0,,,,
41838,698.0022171195396,693.0,,,,
41958,700.0042312228511,695.0,0.0,0.0,5996.1475199999995,180246.528
42078,702.0062453261626,698.0,0.0,0.0,6031.46368,178637.184
42198,704.008259429474,700.0,0.0,0.0,6062.30944,178637.184
42317,705.9935900819246,701.0,0.0,0.0,6090.47296,178637.184
42437,707.995604185236,703.0,0.0,0.0,6121.76576,177027.84
42557,709.9976182885474,705.0,0.0,0.0,6151.2704,177027.84
42677,711.9996323918589,708.0,0.0,0.0,6187.92768,177027.84
42797,714.0016464951703,710.0,0.0,0.0,6220.11456,
42917,716.0036605984818,711.0,0.0,0.0,,
43037,718.0056747017933,713.0,0.0,0.0,6281.35904,
43157,720.0076888051047,716.0,0.0,0.0,6317.56928,
43276,721.9930194575553,718.0,0.0,0.0,6350.2032,173809.152
43396,723.9950335608668,720.0,0.0,0.0,6383.7312,173809.152
43516,725.9970476641782,721.0,0.0,0.0,6414.12992,173809.152
43636,727.9990617674896,723.0,0.0,0.0,6434.24672,173809.152
43756,730.0010758708011,726.0,0.0,0.0,6477.16256,172199.80800000002
43876,732.0030899741125,728.0,0.0,0.0,6505.77312,172199.80800000002
43996,734.005104077424,729.0,0.0,0.0,6530.36032,172199.80800000002
44116,736.0071181807355,731.0,0.0,0.0,6576.4054399999995,172199.80800000002
44235,737.992448833186,734.0,0.0,0.0,6618.4272,172199.80800000002
44355,739.9944629364975,736.0,0.0,0.0,6641.67328,172199.80800000002
44475,741.996477039809,738.0,0.0,0.0,6673.86016,172199.80800000002
44595,743.9984911431204,740.0,0.0,0.0,6716.776,170590.464
44715,746.0005052464319,742.0,0.0,0.0,6758.3507199999995,170590.464
44835,748.0025193497432,743.0,0.0,0.0,6788.74944,168981.12
44955,750.0045334530547,745.0,0.0,0.0,6826.3008,168981.12
45075,752.0065475563662,747.0,0.0,0.0,6864.2991999999995,168981.12
45194,753.9918782088167,750.0,0.0,0.0,6902.2976,167371.776
45314,755.9938923121282,752.0,0.0,0.0,6938.95488,167371.776
45434,757.9959064154397,754.0,0.0,0.0,6980.08256,167371.776
45554,759.9979205187511,756.0,0.0,0.0,7014.50464,167371.776
45674,761.9999346220626,758.0,0.0,0.0,7056.5264,167371.776
45794,764.0019487253741,760.0,0.0,0.0,7100.783359999999,167371.776
45914,766.0039628286855,762.0,0.0,0.0,7131.62912,165762.432
46034,768.0059769319969,764.0,0.0,0.0,7174.54496,165762.432
46154,770.0079910353084,765.0,0.0,0.0,,165762.432
46273,771.9933216877589,768.0,0.0,0.0,7261.7177599999995,165762.432
46393,773.9953357910704,770.0,0.0,0.0,7298.82208,165762.432
46513,775.9973498943818,772.0,0.0,0.0,7338.161599999999,165762.432
46633,777.9993639976933,773.0,0.0,0.0,7375.71296,165762.432
46753,780.0013781010048,776.0,0.0,0.0,7420.864,164153.08800000002
46873,782.0033922043162,778.0,0.0,0.0,7466.46208,164153.08800000002
46993,784.0054063076277,780.0,0.0,0.0,7504.90752,164153.08800000002
47113,786.0074204109392,782.0,0.0,0.0,7532.17696,164153.08800000002
47232,787.9927510633896,784.0,0.0,0.0,7534.8592,164153.08800000002
47352,789.9947651667011,786.0,0.0,0.0,7535.30624,164153.08800000002
47472,791.9967792700126,788.0,0.0,0.0,7535.30624,164153.08800000002
47592,793.998793373324,789.0,0.0,0.0,7535.30624,164153.08800000002
47712,796.0008074766355,792.0,0.0,0.0,7535.30624,164153.08800000002
47832,798.002821579947,794.0,0.0,0.0,7535.30624,164153.08800000002
47952,800.0048356832584,795.0,0.0,0.0,7535.30624,164153.08800000002
48072,802.0068497865699,797.0,0.0,0.0,7535.75328,164153.08800000002
48191,803.9921804390203,799.0,0.0,0.0,7535.75328,164153.08800000002
48311,805.9941945423318,801.0,0.0,0.0,7536.20032,164153.08800000002
48431,807.9962086456433,803.0,0.0,0.0,7536.20032,164153.08800000002
48551,809.9982227489547,805.0,0.0,0.0,,162543.744
48671,812.0002368522662,808.0,0.0,0.0,,162543.744
48791,814.0022509555777,810.0,0.0,0.0,,162543.744
48911,816.0042650588891,812.0,0.0,0.0,7536.64736,162543.744
49031,818.0062791622006,814.0,0.0,0.0,,162543.744
49151,820.0082932655121,816.0,0.0,0.0,7536.20032,162543.744
49270,821.9936239179626,817.0,0.0,0.0,7536.64736,162543.744
49390,823.9956380212741,819.0,0.0,0.0,7536.64736,162543.744
49510,825.9976521245854,821.0,0.0,0.0,7536.64736,162543.744
49630,827.9996662278969,823.0,0.0,0.0,7537.0944,162543.744
49750,830.0016803312084,826.0,0.0,0.0,7537.0944,162543.744
49870,832.0036944345198,827.0,0.0,0.0,7537.54144,162543.744
49990,834.0057085378313,830.0,0.0,0.0,7537.54144,162543.744
50110,836.0077226411428,832.0,0.0,0.0,7537.54144,162543.744
50229,837.9930532935933,833.0,0.0,0.0,7537.54144,162543.744
50349,839.9950673969048,836.0,0.0,0.0,7537.54144,162543.744
50469,841.9970815002163,838.0,0.0,0.0,7537.54144,162543.744
50589,843.9990956035277,840.0,0.0,0.0,7537.54144,162543.744
50709,846.0011097068391,841.0,0.0,0.0,7537.54144,162543.744
50829,848.0031238101506,843.0,0.0,0.0,7537.54144,162543.744
50949,850.005137913462,845.0,0.0,0.0,7537.98848,162543.744
51069,852.0071520167735,847.0,0.0,0.0,7538.43552,162543.744
51188,853.992482669224,849.0,0.0,0.0,7538.43552,160934.4
51308,855.9944967725355,852.0,0.0,0.0,7538.43552,160934.4
51428,857.996510875847,854.0,0.0,0.0,7538.43552,160934.4
51548,859.9985249791584,856.0,0.0,0.0,7538.43552,160934.4
51668,862.0005390824699,858.0,0.0,0.0,7538.43552,160934.4
51788,864.0025531857814,859.0,0.0,0.0,7538.43552,160934.4
51908,866.0045672890927,862.0,0.0,0.0,7538.43552,160934.4
52028,868.0065813924042,864.0,0.0,0.0,7538.43552,160934.4
52147,869.9919120448548,865.0,0.0,0.0,7538.43552,160934.4
52267,871.9939261481662,868.0,0.0,0.0,7538.88256,160934.4
52387,873.9959402514777,869.0,,,,
52507,875.9979543547892,872.0,,,,
52627,877.9999684581006,874.0,,,,
52747,880.0019825614121,876.0,,,,
52867,882.0039966647236,878.0,,,,
52987,884.006010768035,880.0,,,,
